"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"13","14:46:26.436072","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"15","14:46:26.604070","3.2.1","host","USB","72","02000c0000000000","URB_INTERRUPT in"
"17","14:46:26.724070","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"21","14:46:27.277075","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"25","14:46:28.379096","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"29","14:46:29.142103","3.2.1","host","USB","72","0000100000000000","URB_INTERRUPT in"
"33","14:46:30.398113","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"37","14:46:31.063127","3.2.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"41","14:46:31.755123","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"45","14:46:32.361142","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"49","14:46:32.910141","3.2.1","host","USB","72","0000070000000000","URB_INTERRUPT in"
"53","14:46:33.665141","3.2.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"57","14:46:34.345152","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"61","14:46:34.958155","3.2.1","host","USB","72","00000a0000000000","URB_INTERRUPT in"
"65","14:46:35.585180","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"69","14:46:36.225168","3.2.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"73","14:46:36.838182","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"77","14:46:37.577185","3.2.1","host","USB","72","0000060000000000","URB_INTERRUPT in"
"81","14:46:38.123189","3.2.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"85","14:46:38.561194","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"89","14:46:39.104203","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"93","14:46:39.581204","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"97","14:46:40.056231","3.2.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"101","14:46:40.449214","3.2.1","host","USB","72","00001c0000000000","URB_INTERRUPT in"
"105","14:46:41.212223","3.2.1","host","USB","72","0000340000000000","URB_INTERRUPT in"
"109","14:46:41.718227","3.2.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"113","14:46:42.435234","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"117","14:46:43.287243","3.2.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"121","14:46:43.598247","3.2.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"125","14:46:44.064255","3.2.1","host","USB","72","0000060000000000","URB_INTERRUPT in"
"129","14:46:44.551268","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"133","14:46:45.255274","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"137","14:46:45.668275","3.2.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"141","14:46:46.153272","3.2.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"145","14:46:46.548275","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"149","14:46:46.805286","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"153","14:46:48.218306","3.2.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"157","14:46:48.734300","3.2.1","host","USB","72","0000190000000000","URB_INTERRUPT in"
"161","14:46:49.156303","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"165","14:46:49.681309","3.2.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"169","14:46:50.243324","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"173","14:46:50.770320","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"177","14:46:51.222324","3.2.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"181","14:46:51.731334","3.2.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"185","14:46:53.260351","3.2.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"189","14:46:53.938353","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"193","14:46:54.447363","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"197","14:46:54.999368","3.2.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"201","14:46:55.401372","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"205","14:46:55.853373","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"209","14:46:56.213379","3.2.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"213","14:46:56.818396","3.2.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"217","14:46:57.479401","3.2.1","host","USB","72","00001c0000000000","URB_INTERRUPT in"
"221","14:46:59.157410","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"225","14:47:00.714435","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"229","14:47:01.072438","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"233","14:47:01.383444","3.2.1","host","USB","72","0000060000000000","URB_INTERRUPT in"
"237","14:47:02.090439","3.2.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"241","14:47:02.385442","3.2.1","host","USB","72","00001c0000000000","URB_INTERRUPT in"
"245","14:47:03.447455","3.2.1","host","USB","72","0000130000000000","URB_INTERRUPT in"
"249","14:47:03.753454","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"253","14:47:04.052467","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"257","14:47:04.485468","3.2.1","host","USB","72","0000070000000000","URB_INTERRUPT in"
"261","14:47:04.900467","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"265","14:47:05.451484","3.2.1","host","USB","72","0000060000000000","URB_INTERRUPT in"
"269","14:47:06.315482","3.2.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"273","14:47:06.671508","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"277","14:47:07.096503","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"281","14:47:07.441495","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"285","14:47:07.805499","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"289","14:47:08.073500","3.2.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"293","14:47:09.554540","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"297","14:47:10.195522","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"301","14:47:11.076534","3.2.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"305","14:47:11.428535","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"309","14:47:12.166554","3.2.1","host","USB","72","0000100000000000","URB_INTERRUPT in"
"313","14:47:12.552571","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"317","14:47:13.000555","3.2.1","host","USB","72","00000e0000000000","URB_INTERRUPT in"
"321","14:47:13.551577","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"325","14:47:14.635580","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"329","14:47:15.202576","3.2.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"333","14:47:15.799586","3.2.1","host","USB","72","0000180000000000","URB_INTERRUPT in"
"337","14:47:16.149584","3.2.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"341","14:47:16.700594","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"345","14:47:17.340597","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"349","14:47:18.418610","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"353","14:47:18.871615","3.2.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"357","14:47:19.564630","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"361","14:47:20.066625","3.2.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"365","14:47:20.565633","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"369","14:47:20.992636","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"373","14:47:21.508641","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"377","14:47:22.121658","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"381","14:47:22.509653","3.2.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"385","14:47:22.938657","3.2.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"389","14:47:23.381659","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"393","14:47:23.887666","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"397","14:47:24.695694","3.2.1","host","USB","72","00001a0000000000","URB_INTERRUPT in"
"401","14:47:25.302695","3.2.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"405","14:47:25.818685","3.2.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"409","14:47:26.234704","3.2.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"413","14:47:26.717694","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"417","14:47:27.402710","3.2.1","host","USB","72","0000050000000000","URB_INTERRUPT in"
"421","14:47:27.974723","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"425","14:47:28.419717","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"429","14:47:29.004718","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"433","14:47:29.334722","3.2.1","host","USB","72","0000050000000000","URB_INTERRUPT in"
"437","14:47:30.047742","3.2.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"441","14:47:30.605736","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"445","14:47:31.200743","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"449","14:47:31.752761","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"453","14:47:32.336753","3.2.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"457","14:47:32.641756","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"461","14:47:33.410765","3.2.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"465","14:47:33.835769","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"469","14:47:34.691778","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"473","14:47:35.212795","3.2.1","host","USB","72","0000070000000000","URB_INTERRUPT in"
"477","14:47:36.174794","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"481","14:47:36.610802","3.2.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"485","14:47:37.144813","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"489","14:47:37.648810","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"493","14:47:38.736834","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"497","14:47:39.114835","3.2.1","host","USB","72","00001b0000000000","URB_INTERRUPT in"
"501","14:47:39.589835","3.2.1","host","USB","72","0000060000000000","URB_INTERRUPT in"
"505","14:47:39.950833","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"509","14:47:40.412838","3.2.1","host","USB","72","0000130000000000","URB_INTERRUPT in"
"513","14:47:40.894853","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"517","14:47:41.360848","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"521","14:47:41.947865","3.2.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"525","14:47:42.298869","3.2.1","host","USB","72","0000090000000000","URB_INTERRUPT in"
"529","14:47:43.468877","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"533","14:47:43.898875","3.2.1","host","USB","72","0000180000000000","URB_INTERRUPT in"
"537","14:47:44.453882","3.2.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"541","14:47:44.858893","3.2.1","host","USB","72","0000370000000000","URB_INTERRUPT in"
"545","14:47:46.047900","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"549","14:47:46.689913","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"551","14:47:47.364913","3.2.1","host","USB","72","0200170000000000","URB_INTERRUPT in"
"553","14:47:47.513913","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"557","14:47:48.959928","3.2.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"561","14:47:49.345941","3.2.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"565","14:47:49.838948","3.2.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"569","14:47:51.185951","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"573","14:47:51.789967","3.2.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"577","14:47:52.625969","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"581","14:47:53.224971","3.2.1","host","USB","72","0000090000000000","URB_INTERRUPT in"
"585","14:47:53.860984","3.2.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"589","14:47:54.343013","3.2.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"593","14:47:54.820987","3.2.1","host","USB","72","0000100000000000","URB_INTERRUPT in"
"597","14:47:55.452015","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"601","14:47:56.405018","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"605","14:47:56.990022","3.2.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"609","14:47:57.483019","3.2.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"613","14:47:58.159024","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"617","14:47:58.670033","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"621","14:47:59.455046","3.2.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
