"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"625","14:48:00.046045","3.2.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"629","14:48:01.220062","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"633","14:48:01.893061","3.2.1","host","USB","72","0000060000000000","URB_INTERRUPT in"
"637","14:48:02.297068","3.2.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"641","14:48:03.683084","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"645","14:48:04.202094","3.2.1","host","USB","72","0000090000000000","URB_INTERRUPT in"
"649","14:48:04.677090","3.2.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"653","14:48:05.130094","3.2.1","host","USB","72","0000070000000000","URB_INTERRUPT in"
"657","14:48:05.724104","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"661","14:48:06.224107","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"665","14:48:06.686111","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"669","14:48:07.037117","3.2.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"673","14:48:07.491131","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"677","14:48:07.912127","3.2.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"681","14:48:08.954136","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"685","14:48:09.905158","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"689","14:48:10.415149","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"693","14:48:10.919155","3.2.1","host","USB","72","0000070000000000","URB_INTERRUPT in"
"697","14:48:11.363181","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"701","14:48:11.879165","3.2.1","host","USB","72","0000100000000000","URB_INTERRUPT in"
"705","14:48:12.432172","3.2.1","host","USB","72","0000180000000000","URB_INTERRUPT in"
"709","14:48:12.932192","3.2.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"713","14:48:13.538186","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"717","14:48:15.224202","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"721","14:48:15.885212","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"725","14:48:16.490215","3.2.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"729","14:48:17.010230","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"733","14:48:19.139244","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"737","14:48:20.903271","3.2.1","host","USB","72","0000050000000000","URB_INTERRUPT in"
"741","14:48:21.343276","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"745","14:48:21.827268","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"749","14:48:22.396275","3.2.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"753","14:48:22.708291","3.2.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"757","14:48:23.165286","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"761","14:48:23.623289","3.2.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"765","14:48:23.998292","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"769","14:48:24.349308","3.2.1","host","USB","72","0000070000000000","URB_INTERRUPT in"
"773","14:48:26.202315","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"777","14:48:27.011334","3.2.1","host","USB","72","00001a0000000000","URB_INTERRUPT in"
"781","14:48:27.446350","3.2.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"785","14:48:27.893342","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"789","14:48:28.737343","3.2.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"793","14:48:29.268349","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"797","14:48:29.985355","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"801","14:48:30.443359","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"805","14:48:31.536374","3.2.1","host","USB","72","00001c0000000000","URB_INTERRUPT in"
"809","14:48:32.497379","3.2.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"813","14:48:35.088420","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"817","14:48:36.152420","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"821","14:48:37.118449","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"825","14:48:39.313452","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"829","14:48:40.477476","3.2.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"833","14:48:40.908478","3.2.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"837","14:48:41.319472","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"841","14:48:41.991480","3.2.1","host","USB","72","0000370000000000","URB_INTERRUPT in"
"845","14:48:42.330483","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"849","14:48:42.908488","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"851","14:48:43.035491","3.2.1","host","USB","72","0200170000000000","URB_INTERRUPT in"
"853","14:48:43.155495","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"857","14:48:43.764507","3.2.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"861","14:48:45.140512","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"865","14:48:45.810517","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"869","14:48:47.092533","3.2.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"873","14:48:47.850539","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"877","14:48:48.514559","3.2.1","host","USB","72","0000060000000000","URB_INTERRUPT in"
"881","14:48:49.017551","3.2.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"885","14:48:49.529568","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"889","14:48:50.009561","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"893","14:48:50.622588","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"897","14:48:51.240577","3.2.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"901","14:48:51.603578","3.2.1","host","USB","72","00001c0000000000","URB_INTERRUPT in"
"905","14:48:52.473599","3.2.1","host","USB","72","0000340000000000","URB_INTERRUPT in"
"909","14:48:52.827605","3.2.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"913","14:48:53.271595","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"917","14:48:54.964629","3.2.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"921","14:48:55.482628","3.2.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"925","14:48:56.005625","3.2.1","host","USB","72","0000070000000000","URB_INTERRUPT in"
"929","14:48:56.333739","3.2.1","host","USB","72","0000070000000000","URB_INTERRUPT in"
"933","14:48:56.688646","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"937","14:48:57.261640","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"941","14:48:57.974647","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"945","14:48:58.572661","3.2.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"949","14:48:58.884655","3.2.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"953","14:48:59.950668","3.2.1","host","USB","72","0000060000000000","URB_INTERRUPT in"
"957","14:49:00.573687","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"961","14:49:00.985679","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"965","14:49:01.150678","3.2.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"969","14:49:02.281701","3.2.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"973","14:49:03.269700","3.2.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"977","14:49:03.656705","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"981","14:49:05.372850","3.2.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"985","14:49:05.713733","3.2.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"989","14:49:08.385760","3.2.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"993","14:49:14.891822","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"995","14:49:15.501826","3.2.1","host","USB","72","0200060000000000","URB_INTERRUPT in"
"997","14:49:15.637828","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"999","14:49:16.603840","3.2.1","host","USB","72","02000b0000000000","URB_INTERRUPT in"
"1001","14:49:16.715839","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1003","14:49:17.464849","3.2.1","host","USB","72","0200170000000000","URB_INTERRUPT in"
"1005","14:49:17.616853","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1007","14:49:18.414857","3.2.1","host","USB","72","0200050000000000","URB_INTERRUPT in"
"1009","14:49:18.573858","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1013","14:49:19.708870","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1015","14:49:20.455889","3.2.1","host","USB","72","02002f0000000000","URB_INTERRUPT in"
"1017","14:49:20.659880","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1021","14:49:46.263159","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"1025","14:49:47.433183","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1027","14:49:48.632182","3.2.1","host","USB","72","02002d0000000000","URB_INTERRUPT in"
"1029","14:49:48.768174","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1033","14:49:49.435181","3.2.1","host","USB","72","0000130000000000","URB_INTERRUPT in"
"1037","14:49:50.015395","3.2.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"1041","14:49:50.498198","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"1045","14:49:51.242221","3.2.1","host","USB","72","0000060000000000","URB_INTERRUPT in"
"1049","14:49:52.143229","3.2.1","host","USB","72","0000200000000000","URB_INTERRUPT in"
"1053","14:50:00.316296","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1055","14:50:00.885311","3.2.1","host","USB","72","02002d0000000000","URB_INTERRUPT in"
"1057","14:50:01.005311","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1061","14:50:02.879322","3.2.1","host","USB","72","0000090000000000","URB_INTERRUPT in"
"1065","14:50:05.359464","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1067","14:50:06.099354","3.2.1","host","USB","72","0200040000000000","URB_INTERRUPT in"
"1069","14:50:06.292358","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1073","14:50:07.064383","3.2.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"1077","14:50:08.057373","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1079","14:50:08.573382","3.2.1","host","USB","72","02002d0000000000","URB_INTERRUPT in"
"1081","14:50:08.715391","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1085","14:50:10.657402","3.2.1","host","USB","72","0000090000000000","URB_INTERRUPT in"
"1089","14:50:11.185407","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1091","14:50:11.573413","3.2.1","host","USB","72","0200040000000000","URB_INTERRUPT in"
"1093","14:50:11.769638","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1097","14:50:12.955436","3.2.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"1101","14:50:14.007443","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1103","14:50:14.718453","3.2.1","host","USB","72","02002d0000000000","URB_INTERRUPT in"
"1105","14:50:14.822454","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1109","14:50:16.086459","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"1113","14:50:17.400472","3.2.1","host","USB","72","00001a0000000000","URB_INTERRUPT in"
"1117","14:50:18.404485","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"1121","14:50:19.947504","3.2.1","host","USB","72","00001c0000000000","URB_INTERRUPT in"
"1125","14:50:20.725505","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1127","14:50:20.993509","3.2.1","host","USB","72","02002d0000000000","URB_INTERRUPT in"
"1129","14:50:21.102509","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1133","14:50:22.651537","3.2.1","host","USB","72","0000090000000000","URB_INTERRUPT in"
"1137","14:50:23.686557","3.2.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"1141","14:50:24.564545","3.2.1","host","USB","72","0000270000000000","URB_INTERRUPT in"
"1145","14:50:25.696577","3.2.1","host","USB","72","0000100000000000","URB_INTERRUPT in"
"1149","14:50:26.472564","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1151","14:50:26.740567","3.2.1","host","USB","72","02002d0000000000","URB_INTERRUPT in"
"1153","14:50:26.838573","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1157","14:50:28.063593","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"1161","14:50:29.307597","3.2.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"1165","14:50:29.989604","3.2.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"1169","14:50:39.916712","3.2.1","host","USB","72","00002a0000000000","URB_INTERRUPT in"
"1173","14:50:41.696724","3.2.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"1177","14:50:42.375729","3.2.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"1181","14:50:43.228742","3.2.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"1185","14:50:44.206760","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"1187","14:50:46.000772","3.2.1","host","USB","72","0200300000000000","URB_INTERRUPT in"
"1189","14:50:46.103769","3.2.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
